Company Name|Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding |Date |Adjusted Closing Price |Shares Outstanding 
Bharti Airtel Ltd.||||||||||30-09-2002|14.08|1853366767|31-12-2002|10.32|1853366767|31-03-2003|12.75|1853366767|30-06-2003|17.55|1853366767|30-09-2003|35.95|1853366767|31-12-2003|47.35|1853366767|31-03-2004|69.68|1853366767|30-06-2004|61.45|1853366767|30-09-2004|65.82|1853366767|31-12-2004|97.14|1853366767|31-03-2005|93.2|1853366767|30-06-2005|109.42|1873455212|30-09-2005|157.02|1884057624|31-03-2006|186.01|1893879304|30-06-2006|166.7|1895241565|31-12-2007|448.09|1897836596|31-03-2008|372.2|1897907446|30-06-2008|325.14|1898020804|30-09-2008|353.7|1898101604|31-12-2008|322.19|1898216194|31-03-2009|281.95|1898239796|30-06-2009|361.38|1898373280|30-09-2009|377.15|3796842330|31-12-2009|296.28|3796951980|31-03-2010|281.05|3797530096|30-06-2010|237.21|3797530096|30-09-2010|329.71|3797530096|31-12-2010|322.95|3797530096|31-03-2011|322.14|3797530096|30-06-2011|356.16|3797530096|30-09-2011|340.7|3797530096|31-12-2012|285.47|3797530096|30-09-2013|286.77|3997400102|31-12-2013|297.77|3997400102|31-03-2014|287.36|3997400102|30-06-2014|303.58|3997400102|30-09-2014|364.27|3997400102|31-12-2014|317.95|3997400102|31-03-2015|354.94|3997400102|30-06-2015|378.37|3997400102|30-09-2015|304.57|3997400102|31-12-2015|306.28|3997400102|31-03-2016|316.19|3997400102|30-06-2016|329.94|3997400102|30-09-2016|282.99|3997400102|31-03-2017|315.34|3997400102|30-06-2017|341.65|3997400102|31-12-2018|281.95|3997400107|30-09-2019|360.49|5131961850|31-12-2019|447.41|5131961850|31-03-2020|432.49|5455557355|30-06-2020|549.34|5455557355|30-09-2020|413.15|5455557355|31-12-2020|499.92|5455557355|31-03-2021|507.77|5492027268|30-06-2021|515.38|5492027268|30-09-2021|688.15|5884314930|31-12-2021|683.85|5884314930|31-03-2022|755.4|5884314930
H C L Technologies Ltd.|31-03-2000|108.68|139763531|30-06-2000|80.53|140257335|31-12-2001|34.29|285416922|30-09-2002|26.09|288187866|31-12-2002|23.32|288332312|31-03-2003|18.94|288428738|30-06-2003|19.32|288436638|30-09-2003|21.51|295527628|31-12-2003|38.3|295598360|31-03-2004|30.98|295894660|30-06-2004|37.27|296080438|30-09-2004|44.37|296478814|31-12-2004|42.91|317221268|31-03-2005|46.3|318153372|30-06-2005|48.61|319214784|30-09-2005|57.08|319978408|31-03-2006|82.5|322791060|30-06-2006|62.76|323442350|31-12-2007|82.85|663808824|31-03-2008|63.25|665143768|30-06-2008|62.67|666340272|30-09-2008|48.59|668681820|31-12-2008|28.8|669662048|31-03-2009|25.44|669761856|30-06-2009|46.42|670256600|30-09-2009|84.9|671256600|31-12-2009|92.84|673505932|31-03-2010|89.45|676108228|30-06-2010|91.22|678783812|30-09-2010|104.94|679998592|31-12-2010|114.01|684065648|31-03-2011|119.13|685727624|30-06-2011|123.36|688688524|30-09-2011|102.08|689797532|31-12-2012|154.81|694561820|30-09-2013|272.07|697795469|31-12-2013|315.77|698825265|31-03-2014|347.63|699424177|30-06-2014|374.14|699976381|30-09-2014|428.84|701303613|31-12-2014|398.99|702370929|31-03-2015|489.82|1405695922|30-06-2015|460.52|1405978418|30-09-2015|491.07|1406251338|31-12-2015|427.73|1409317394|31-03-2016|407.07|1410381314|30-06-2016|365.27|1410756354|30-09-2016|399.88|1410911594|31-03-2017|436.52|1426783424|30-06-2017|425.3|1426987904|31-12-2018|481.27|1356261268|30-09-2019|540.25|1356401188|31-12-2019|568.25|2713665096|31-03-2020|436.75|2713665096|30-06-2020|556.3|2713665096|30-09-2020|811.6|2713665096|31-12-2020|945.95|2713665096|31-03-2021|983.45|2713665096|30-06-2021|984.4|2713665096|30-09-2021|1279|2713665096|31-12-2021|1318.4|2713665096|31-03-2022|1163.35|2713665096
Infosys Ltd.|31-03-2000|139.09|66150700|30-06-2000|129.98|66151367|31-12-2001|63.65|66169247|30-09-2002|53.13|66205180|31-12-2002|74.55|66229489|31-03-2003|63.13|66243078|30-06-2003|51.01|66249366|30-09-2003|70.69|66268972|31-12-2003|86.93|66455992|31-03-2004|77.16|66641056|30-06-2004|86.3|66868034|30-09-2004|105.95|267860670|31-12-2004|130.56|269456304|31-03-2005|140.78|270570549|30-06-2005|147.35|271422867|30-09-2005|157.31|272659512|31-03-2006|186.3|275554980|30-06-2006|192.35|276843176|31-12-2007|221.05|571553937|31-03-2008|178.77|571995758|30-06-2008|216.84|572160659|30-09-2008|174.69|572499855|31-12-2008|139.73|572641503|31-03-2009|165.51|572830043|30-06-2009|222.11|573059177|30-09-2009|288.55|573311693|31-12-2009|325.66|573535233|31-03-2010|326.89|573825192|30-06-2010|348.57|573901101|30-09-2010|380.13|574034674|31-12-2010|430.63|574129693|31-03-2011|404.59|574151559|30-06-2011|363.43|574187692|30-09-2011|316.73|574203082|31-12-2012|289.81|574236166|30-09-2013|376.93|574236166|31-12-2013|435.69|574236166|31-03-2014|409.86|574236166|30-06-2014|405.81|574236166|30-09-2014|468.46|574236166|31-12-2014|492.8|1148472332|31-03-2015|554.15|1148472332|30-06-2015|492.68|2296944664|30-09-2015|580.23|2296944664|31-12-2015|552.27|2296944664|31-03-2016|608.98|2296944664|30-06-2016|585.38|2296944664|30-09-2016|519.05|2296944664|31-03-2017|510.4|2296944664|30-06-2017|467.82|2296944664|31-12-2018|659.85|4368647898|30-09-2019|805.3|4258412178|31-12-2019|731.75|4258636276|31-03-2020|640.3|4258992566|30-06-2020|735.9|4259154628|30-09-2020|1008|4259411598|31-12-2020|1255.85|4259587833|31-03-2021|1367.75|4260660846|30-06-2021|1581.25|4256881763|30-09-2021|1675.4|4205464426|31-12-2021|1889.65|4205617958|31-03-2022|1907.2|4206738641
Ltimindtree Ltd.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||30-09-2016|618.25|169843538|31-03-2017|711.2|170571113|30-06-2017|790.25|170609206|31-12-2018|1725.35|173417179|30-09-2019|1511.4|173930566|31-12-2019|1748.7|174025424|31-03-2020|1430.65|174126769|30-06-2020|1960.85|174182729|30-09-2020|2543|174543281|31-12-2020|3658.25|174643588|31-03-2021|4048|174750608|30-06-2021|4067.6|174792808|30-09-2021|5767.95|175173846|31-12-2021|7328.15|175222796|31-03-2022|6157|175270156
Nelco Ltd.|31-03-2000|42|22818400|30-06-2000|37.45|22818400|31-12-2001|9.65|22818400|30-09-2002|28.6|22818400|31-12-2002|33.25|22818400|31-03-2003|24.65|22818400|30-06-2003|34.7|22818400|30-09-2003|35.7|22818400|31-12-2003|64.15|22818400|31-03-2004|34.4|22818400|30-06-2004|29.6|22818400|30-09-2004|37.65|22818400|31-12-2004|53.9|22818400|31-03-2005|38.2|22818400|30-06-2005|39.75|22818400|30-09-2005|59.05|22818400|31-03-2006|134.1|22818400|30-06-2006|78.15|22818400|31-12-2007|154.65|22818400|31-03-2008|81.4|22818400|30-06-2008|66.35|22818400|30-09-2008|56.55|22818400|31-12-2008|35.3|22818400|31-03-2009|33|22818400|30-06-2009|48.95|22818400|30-09-2009|65.65|22818400|31-12-2009|96.9|22818400|31-03-2010|147.65|22818400|30-06-2010|117.55|22818400|30-09-2010|116.45|22818400|31-12-2010|116.75|22818400|31-03-2011|71.1|22818400|30-06-2011|71.3|22818400|30-09-2011|55.3|22818400|31-12-2012|51.9|22818400|30-09-2013|33.4|22818400|31-12-2013|37.3|22818400|31-03-2014|38.15|22818400|30-06-2014|60.2|22818400|30-09-2014|87.6|22818400|31-12-2014|81.35|22818400|31-03-2015|69.15|22818400|30-06-2015|73.75|22818400|30-09-2015|62.55|22818400|31-12-2015|123.8|22818400|31-03-2016|89.3|22818400|30-06-2016|97.4|22818400|30-09-2016|82.95|22818400|31-03-2017|78.75|22818400|30-06-2017|98.45|22818400|31-12-2018|250.3|22818400|30-09-2019|243.3|22818400|31-12-2019|240.9|22818400|31-03-2020|134.5|22818400|30-06-2020|194.7|22818400|30-09-2020|197.35|22818400|31-12-2020|196.15|22818400|31-03-2021|188.6|22818400|30-06-2021|373.4|22818400|30-09-2021|719.6|22818400|31-12-2021|725.5|22818400|31-03-2022|714.75|22818400
Suyog Telematics Ltd.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||31-03-2014|21.04|6462000||||30-09-2014|25.25|6462000|31-12-2014|29.12|6462000||||30-06-2015|62.87|8462000||||||||||||||||31-03-2017|445|10154400|30-06-2017|380|10154400|31-12-2018|225.2|10154400|30-09-2019|442.25|10154400|31-12-2019|407|10154400|31-03-2020|334.25|10154400|30-06-2020|276.9|10154400|30-09-2020|388.25|10154400|31-12-2020|420.45|10154400|31-03-2021|413.8|10154400|30-06-2021|418.95|10154400|30-09-2021|414.5|10304400|31-12-2021|405.9|10482400|31-03-2022|408.2|10482400
Tata Communications Ltd.|31-03-2000|613.33|95000000|30-06-2000|403.27|95000000|31-12-2001|206.25|285000000|30-09-2002|112.7|285000000|31-12-2002|98.5|285000000|31-03-2003|73.5|285000000|30-06-2003|125.2|285000000|30-09-2003|121.9|285000000|31-12-2003|147.5|285000000|31-03-2004|204.9|285000000|30-06-2004|161.5|285000000|30-09-2004|174.85|285000000|31-12-2004|231.25|285000000|31-03-2005|187.15|285000000|30-06-2005|246.15|285000000|30-09-2005|356.05|285000000|31-03-2006|471.85|285000000|30-06-2006|400.45|285000000|31-12-2007|763.6|285000000|31-03-2008|513.75|285000000|30-06-2008|373.2|285000000|30-09-2008|468.2|285000000|31-12-2008|500.85|285000000|31-03-2009|516.2|285000000|30-06-2009|475.1|285000000|30-09-2009|484.5|285000000|31-12-2009|336.05|285000000|31-03-2010|280.4|285000000|30-06-2010|262.15|285000000|30-09-2010|308.35|285000000|31-12-2010|255.6|285000000|31-03-2011|238.9|285000000|30-06-2011|197.1|285000000|30-09-2011|186.2|285000000|31-12-2012|235.5|285000000|30-09-2013|188.1|285000000|31-12-2013|309.05|285000000|31-03-2014|305.95|285000000|30-06-2014|392.85|285000000|30-09-2014|357.9|285000000|31-12-2014|439.4|285000000|31-03-2015|420.75|285000000|30-06-2015|443.2|285000000|30-09-2015|413|285000000|31-12-2015|434.55|285000000|31-03-2016|380.95|285000000|30-06-2016|480.1|285000000|30-09-2016|565.5|285000000|31-03-2017|722.3|285000000|30-06-2017|722|285000000|31-12-2018|523.55|285000000|30-09-2019|373.65|285000000|31-12-2019|396.15|285000000|31-03-2020|233.2|285000000|30-06-2020|611.2|285000000|30-09-2020|848.85|285000000|31-12-2020|1100.2|285000000|31-03-2021|1062.55|285000000|30-06-2021|1285.35|285000000|30-09-2021|1390.8|285000000|31-12-2021|1465.9|285000000|31-03-2022|1228.1|285000000
Tata Consultancy Services Ltd.||||||||||||||||||||||||||||||||||30-09-2004|128.39|480102429|31-12-2004|166.94|480114809|31-03-2005|179.09|480114809|30-06-2005|168.99|480114809|30-09-2005|185.16|480114809|31-03-2006|239.27|489305249|30-06-2006|216.96|489305249|31-12-2007|270.84|978610498|31-03-2008|202.72|978610498|30-06-2008|214.7|978610498|30-09-2008|165.69|978610498|31-12-2008|119.53|978610498|31-03-2009|135|978610498|30-06-2009|194.85|1957220996|30-09-2009|309.68|1957220996|31-12-2009|374.88|1957220996|31-03-2010|390.4|1957220996|30-06-2010|375.57|1957220996|30-09-2010|461.27|1957220996|31-12-2010|582.52|1957220996|31-03-2011|591.25|1957220996|30-06-2011|590.17|1957220996|30-09-2011|518.75|1957220996|31-12-2012|629.27|1957220996|30-09-2013|963.35|1957220996|31-12-2013|1085.47|1958727979|31-03-2014|1064.13|1958727979|30-06-2014|1209.72|1958727979|30-09-2014|1369.1|1958727979|31-12-2014|1277.35|1958727979|31-03-2015|1273.53|1958727979|30-06-2015|1276.1|1958727979|30-09-2015|1293.85|1970427941|31-12-2015|1219.6|1970427941|31-03-2016|1258.03|1970427941|30-06-2016|1275.4|1970427941|30-09-2016|1213.6|1970427941|31-03-2017|1215.55|1970427941|30-06-2017|1182.18|1914287591|31-12-2018|1893.55|3752384706|30-09-2019|2099.2|3752384706|31-12-2019|2161.3|3752384706|31-03-2020|1823.05|3752384706|30-06-2020|2082.2|3752384706|30-09-2020|2491.5|3752384706|31-12-2020|2870.2|3752384706|31-03-2021|3177.6|3699051373|30-06-2021|3345.25|3699051373|30-09-2021|3774.5|3699051373|31-12-2021|3736.85|3699051373|31-03-2022|3738.8|3659051373
Wipro Ltd.|31-03-2000|205.99|229156350|30-06-2000|108.75|229156350|31-12-2001|60.09|232439524|30-09-2002|49.63|232496246|31-12-2002|61.15|232547145|31-03-2003|46.06|232563992|30-06-2003|35.51|232566482|30-09-2003|47|232567137|31-12-2003|65.16|232628559|31-03-2004|50.98|232759152|30-06-2004|59.86|698446890|30-09-2004|67.12|698951673|31-12-2004|84.15|702120931|31-03-2005|75.5|703570522|30-06-2005|86.12|704871203|30-09-2005|83.66|1414957082|31-03-2006|125.67|1425754267|30-06-2006|115.59|1431992871|31-12-2007|118.26|1460275474|31-03-2008|95.69|1461453320|30-06-2008|98.54|1462008502|30-09-2008|76.42|1462894047|31-12-2008|52.55|1463724838|31-03-2009|55.22|1464980746|30-06-2009|84.97|1465657886|30-09-2009|135.39|1466277426|31-12-2009|152.87|1467572082|31-03-2010|159.03|1468211189|30-06-2010|144.28|2449412810|30-09-2010|168.13|2451995801|31-12-2010|183.84|2453645481|31-03-2011|179.36|2454409145|30-06-2011|156.6|2455764647|30-09-2011|127.76|2457541511|31-12-2012|147.88|2462554923|30-09-2013|177.77|2465088245|31-12-2013|209.64|2465513233|31-03-2014|203.48|2466317273|30-06-2014|204.36|2467235548|30-09-2014|223.63|2467775393|31-12-2014|207.67|2468695721|31-03-2015|235.42|2469043038|30-06-2015|204.06|2469300801|30-09-2015|223.93|2469894208|31-12-2015|209.92|2470402228|31-03-2016|211.26|2470713290|30-06-2016|209.38|2470713290|30-09-2016|179.12|2430801816|31-03-2017|193.26|2430900565|30-06-2017|194.06|4866148654|31-12-2018|247.69|4525022173|30-09-2019|239.8|5712906868|31-12-2019|245.95|5713022469|31-03-2020|196.6|5713357390|30-06-2020|219.7|5714438884|30-09-2020|313.6|5714950888|31-12-2020|386.25|5715338089|31-03-2021|414.2|5479138555|30-06-2021|545.65|5479239889|30-09-2021|634.35|5480819197|31-12-2021|715.2|5481283211|31-03-2022|592|5482070115
